Module Code,Acronym,Student Numbers
COM00015C,SOF1,327
COM00013C,THE1,282
COM00018C,HCIN,282
COM00016C,SOF2,328
COM00011C,SYS1,283
COM00014C,THE2,318
COM00019I,ENG1,315
COM00029I,SYS2,277
COM00027I,THE3,313
COM00026I,IMLO,304
COM00028I,DATA,296
COM00018I,SYS3,275
COM00015H,PRBX,193
COM00056H,NETS-H,73
COM00188M,NETS-M,30
COM00048H,CTAP-H,63
COM00183M,CTAP-M,26
COM00040H,HINT-H,42
COM00173M,HINT-M,16
COM00036H,HIPC-H,44
COM00174M,HIPC-M,18
COM00058H,QUAL-H,25
COM00181M,QUAL-M,15
COM00066H,ROCS-H,10
COM00180M,ROCS-M,72
COM00038H,VICO-H,43
COM00167M,VICO-M,15
COM00052H,AURO-H,62
COM00186M,AURO-M,11
COM00037H,EVAC-H,33
COM00177M,EVAC-M,27
COM00049H,DEEP-H,84
COM00184M,DEEP-M,46
COM00064H,EHAC-H,30
COM00182M,EHAC-M,26
COM00055H,ENG2-H,52
COM00187M,ENG2-M,8
COM00003H,EMBS-H,37
COM00175M,EMBS-M,8
COM00050H,AIPS-H,20
COM00191M,AIPS-M,15
COM00054H,TECC-H,26
COM00189M,TECC-M,34
COM00065H,PLEI-H,22
COM00190M,PLEI-M,11
COM00042H,QUCO-H,40
COM00168M,QUCO-M,11
COM00196M,FOAM,30
COM00179M,IDEV,10
COM00195M,PRAD,56
COM00200M,GODS,18
COM00207M,CBDA,29
COM00138M,GPIG,35
COM00079M,PRIN,2
COM00194M,PACS,11
COM00197M,PRAI,14
COM00193M,PCYB,19
COM00213M,PPCX,13
COM00192M,PRMH,7
COM00006M,FSSE-1,24
COM00212M,FSSE-2,24
COM00025M,HRAS,45
COM00047M,SCDR,37
COM00201M,REMS,12
COM00052M,SSAS,31
COM00017M,CASA,38
COM00208M,HUFS,17
COM00164M,RASS,21
COM00202M,SESA,22
COM00209M,PMCE,2
COM00205M,PRCE,11
COM00210M,PRCM,2
COM00033M,PRCP,10
COM00011I,Placement,58
COM00015I,Exchange Abroad,5
