Artificial Intelligence,,,,Automated Software Engineering,,,,Cyber Security and Privacy ,,,,High Integrity Systems,,,,Human Computer Interaction,,,,Group,,Prof,Reader,SL,Lecturer,Total
Richard Wilson,Prof,*,TRUE,Dimitris Kolovos,Prof,*,TRUE,Siamak Shahandashti,Reader,*,TRUE,Ibrahim Habli,Prof,,TRUE,Paul Cairns,Prof,*,TRUE,Artificial Intelligence,,1,1,2,2,6
Dimitar Kazakov,Reader,,TRUE,Antonio Garcia-Dominguez,Reader,,TRUE,Vasileios Vasilakis,SL,,TRUE,John McDermid,Prof,*,TRUE,Jo Iacovides,Reader,,TRUE,Automated Software Engineering,,1,0,3,1,5
Frank Soboczenski,SL,,TRUE,Detlef Plump,SL,,TRUE,Roberto Metere,L,,TRUE,Radu Calinescu,Prof,,TRUE,Alena Denisova,SL,,TRUE,,,,,,,
James Walker,SL,,TRUE,Simos Gerasimou (20%),SL,,FALSE,Yuchen Zhao,L,,TRUE,Mark Sujan,Prof,,TRUE,Joe Cutting,L,,TRUE,Cyber Security and Privacy ,,0,0,2,2,4
Peter Nightingale,SL,,TRUE,Konstantinos Barmpis,L,,TRUE,,,,,Richard Hawkins,SL,,TRUE,Jacob Rigby,L,,FALSE,High Integrity Systems,,5,0,3,2,10
Sourmya B,SL,,FALSE,New appointee Dec 26 ,L,,FALSE,,,,2000,Rob Alexander,SL,,TRUE,,,,,Human Computer Interaction,,1,0,2,2,5
New appointee - Jan 27,L,,TRUE,,,,,,,,,Colin Paterson,SL,,TRUE,,,,2000,Non-standard Computing ,,3,0,1,0,4
,,,2500,,,,2000,,,,,Xinwei Fang,L,,TRUE,,,,,Real Time and Distributed Systems,,1,0,6,1,8
,,,,,,,,,,,,,,,FALSE,,,,,Software Engineering for Robotics,,1,0,1,2,4
,,,,,,,,,,,,,,,4000,,,,,"Vision, Graphics and Learning",,2,0,3,1,6
Quantum,,,,Real Time and Distributed Systems,,,,,,,,"Vision, Graphics and Learning",,,,,,,,Total,,15,1,23,13,52
Sam Braunstein,Prof,,TRUE,Iain Bate,Prof,,TRUE,Software Engineering for Robotics,,,,Nick Pears,Prof,,TRUE,,,,,,,,,,,
Stefano Pirandola,Prof,*,TRUE,Steven Wright,Reader,,TRUE,Ana Cavalcanti,Prof,*,TRUE,Will Smith,Prof,*,TRUE,,,,,,,,,,,
Carlo Ottaviani,SL,,TRUE,Ian Gray,SL,,TRUE,Simon Foster,SL,,TRUE,Adrian Bors,SL,,TRUE,,,,,,,,,,,
,,,,Pengcheng Liu,SL,*,TRUE,Alvaro Miyazawa,L,,TRUE,Kofi Appiah,SL,,TRUE,,,,,,,,,,,
,,,1500,Christopher Crispin-Bailey,SL,,TRUE,Pedro Ribiero,L,,FALSE,Claudio Guarnera,SL,,TRUE,,,,,,,,,,,
,,,,Poonam Yadav,SL,,TRUE,Fang Yan,L,,FALSE,Da Li,SL,,FALSE,,,,,,,,,,,
,,,,Steven Dai,SL,,TRUE,,,,,Pourya Shamsolmoali,L,,TRUE,,,,,,,,,,,
,,,,New appointee April 27 ,L,,,,,,1500,,,,,,,,,,,,,,,
,,,,,,,3500,,,,,,,,3000,,,,,,,,,,,
Key,,,,,,,,,,,,,,,,,,,,,,,,,,
Prof ,,,,,,,,,,,,,,,,,,,,,,,,,,
Reader,,,,,,,,,,,,,,,,,,,,,,,,,,
SL,,,,,,,,,,,,,,,,,,,,,,,,,,
L,,,,,,,,,,,,,,,,,,,,,,,,,,
* Group Leader,,,,,,,,,,,,,,,,,,,,,,,,,,
